experiment,accuracy,macro_f1,enrolled_f1,enrolled_recall
baseline,0.7717514124293785,0.7096893366431506,0.4965986394557823,0.4591194968553459
enrolled_1.25,0.768361581920904,0.7123899820529034,0.5128205128205128,0.5031446540880503
enrolled_1.5,0.7649717514124293,0.7103736332831462,0.5157232704402516,0.5157232704402516
enrolled_1.75,0.7615819209039548,0.710665923380819,0.5165165165165165,0.5408805031446541
enrolled_2.0,0.7502824858757062,0.6982335314452671,0.4941860465116279,0.5345911949685535
